variant,n,threads,flops,time_s,gflops,bytes,oi,bw_GBps,date
baseline,1024,4,2147483648,1.37,1.5675063124087592,12582912,170.66666666666666,0.009184607299270073,2025-11-20T21:29:45-06:00
baseline,1024,4,2147483648,1.33,1.614649359398496,12582912,170.66666666666666,0.009460836090225565,2025-11-20T21:29:47-06:00
baseline,1024,4,2147483648,1.33,1.614649359398496,12582912,170.66666666666666,0.009460836090225565,2025-11-20T21:29:48-06:00
baseline,1024,4,2147483648,1.33,1.614649359398496,12582912,170.66666666666666,0.009460836090225565,2025-11-20T21:29:50-06:00
baseline,1024,4,2147483648,1.32,1.6268815515151516,12582912,170.66666666666666,0.009532509090909089,2025-11-20T21:29:51-06:00
baseline,1024,4,2147483648,1.34,1.6025997373134326,12582912,170.66666666666666,0.009390232835820895,2025-11-20T21:29:52-06:00
baseline,1024,4,2147483648,1.33,1.614649359398496,12582912,170.66666666666666,0.009460836090225565,2025-11-20T21:29:54-06:00
baseline,2048,4,17179869184,38.91,0.4415283778977127,50331648,341.3333333333333,0.001293540169622205,2025-11-20T21:29:55-06:00
baseline,2048,4,17179869184,39.89,0.43068110263223863,50331648,341.3333333333333,0.0012617610428678867,2025-11-20T21:30:34-06:00
baseline,2048,4,17179869184,38.72,0.4436949685950413,50331648,341.3333333333333,0.0012998876033057853,2025-11-20T21:31:15-06:00
baseline,2048,4,17179869184,39.25,0.43770367347770706,50331648,341.3333333333333,0.0012823349808917196,2025-11-20T21:31:53-06:00
baseline,2048,4,17179869184,39.30,0.43714679857506367,50331648,341.3333333333333,0.0012807035114503816,2025-11-20T21:32:33-06:00
baseline,2048,4,17179869184,39.58,0.43405429974734716,50331648,341.3333333333333,0.0012716434562910562,2025-11-20T21:33:12-06:00
baseline,2048,4,17179869184,39.01,0.44039654406562423,50331648,341.3333333333333,0.0012902242501922586,2025-11-20T21:33:52-06:00
blocked,1024,4,2147483648,1.28,1.6777216,12582912,170.66666666666666,0.0098304,2025-11-20T21:34:31-06:00
blocked,1024,4,2147483648,1.22,1.7602324983606559,12582912,170.66666666666666,0.010313862295081968,2025-11-20T21:34:32-06:00
blocked,1024,4,2147483648,1.24,1.7318416516129034,12582912,170.66666666666666,0.010147509677419356,2025-11-20T21:34:34-06:00
blocked,1024,4,2147483648,1.26,1.7043521015873015,12582912,170.66666666666666,0.009986438095238095,2025-11-20T21:34:35-06:00
blocked,1024,4,2147483648,1.26,1.7043521015873015,12582912,170.66666666666666,0.009986438095238095,2025-11-20T21:34:37-06:00
blocked,1024,4,2147483648,1.22,1.7602324983606559,12582912,170.66666666666666,0.010313862295081968,2025-11-20T21:34:38-06:00
blocked,1024,4,2147483648,1.26,1.7043521015873015,12582912,170.66666666666666,0.009986438095238095,2025-11-20T21:34:39-06:00
blocked,2048,4,17179869184,13.00,1.3215283987692308,50331648,341.3333333333333,0.003871665230769231,2025-11-20T21:34:41-06:00
blocked,2048,4,17179869184,12.90,1.3317728049612403,50331648,341.3333333333333,0.0039016781395348837,2025-11-20T21:34:54-06:00
blocked,2048,4,17179869184,13.02,1.3194984012288786,50331648,341.3333333333333,0.0038657179723502306,2025-11-20T21:35:07-06:00
blocked,2048,4,17179869184,12.77,1.3453303981205953,50331648,341.3333333333333,0.003941397650743931,2025-11-20T21:35:20-06:00
blocked,2048,4,17179869184,12.80,1.34217728,50331648,341.3333333333333,0.00393216,2025-11-20T21:35:33-06:00
blocked,2048,4,17179869184,12.86,1.3359151776049767,50331648,341.3333333333333,0.00391381399688958,2025-11-20T21:35:46-06:00
blocked,2048,4,17179869184,12.68,1.35487927318612,50331648,341.3333333333333,0.00396937287066246,2025-11-20T21:35:59-06:00
